"title","year","runtime","genre","rating","overview","director","star"
"How to Train Your Dragon", 2010, 98, "Animation, Action, Adventure", 8.1, "A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.", "Dean DeBlois, Chris Sanders", "Jay Baruchel"
"Step Up 2: The Streets", 2008, 12, "Drama, Music, Romance", 6.2, "Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.", "Jon M. Chu", "Briana Evigan"
"The Karate Kid", 2010, 140, "Action, Drama, Family", 6.2, "Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.", "Harald Zwart", "Jackie Chan"
"The Age of Adeline", 2015, 112, "Drama, Fantasy, Romance", 7.2, "A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.", "
Lee Toland Krieger", "Blake Lively"
"Encanto", 2021, 102, "Animation, Comedy, Family", 7.2, "A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.", "Jared Bush, Byron Howard, Charise Castro Smith", "Stephanie Beatriz"
